question_asked,answer_given,top_match,answer_taught,category,question_type,date_received,date_responded,response_time,processed_by,dialogflow_answers
HOW CAN I REQUEST A COPY OF GRANT OF WRITTEN PERMISSION,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/30/2019 14:56,12/31/2019 10:58,1,Oh Kie Hock,General info on change of use
URA CONTACT NO,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/30/2019 15:00,12/31/2019 10:58,1,Oh Kie Hock,Who can I speak to at URA?
how I cancel furnish driver detail because I had furnish the wrong driver detail,General info for feedback on e-Service errors,Top Match,Catch all,,No Feedback,12/30/2019 15:35,12/31/2019 10:58,1,Oh Kie Hock,Car Parks-Use of Parking Lots for non-parking purpose-Cancel/Amend application
I want to complain against my developer,General info on reporting infringements,Top Match,General Info on Housing Developer,,No Feedback,12/30/2019 15:09,12/31/2019 10:56,1,Oh Kie Hock,General Info on Housing Developer
Feedback developer,General Information about URA,,General Info on Housing Developer,,No Feedback,12/30/2019 15:10,12/31/2019 10:56,1,Oh Kie Hock,General Info on Housing Developer
complain developer,General Info on Housing Developer,,General Info on Housing Developer,,No Feedback,12/30/2019 15:10,12/31/2019 10:56,1,Oh Kie Hock,General Info on Housing Developer
how may I check approved use,General info on change of use,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,12/30/2019 15:54,12/31/2019 10:55,1,Oh Kie Hock,General info on change of use
register tenant,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/30/2019 15:51,12/31/2019 10:51,1,Oh Kie Hock,General info on renting private residential property
How do i atttach a larger supporting file,General info for feedback on e-Service errors,,General info for feedback on e-Service errors,,No Feedback,12/30/2019 16:05,12/31/2019 10:46,1,Oh Kie Hock,General info for feedback on e-Service errors
i want to complain against a developer,General info on reporting infringements,Top Match,Catch all,,No Feedback,12/30/2019 16:18,12/31/2019 10:43,1,Oh Kie Hock,General info on reporting infringements
Could I install glass screen at my balcony,Can I install screening at my balcony?,Top Match,Can I install screening at my balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/30/2019 17:16,12/31/2019 10:42,1,Oh Kie Hock,Can I install screening at my balcony?
Why glass screen is allowed in some condo,Can I enclose my balcony?,Top Match,Can I enclose my balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/30/2019 17:17,12/31/2019 10:42,1,Oh Kie Hock,General info on renting private residential property
How do we calculate gfa cost due to change of use,General info on change of use,Top Match,Catch all,,No Feedback,12/30/2019 16:33,12/31/2019 10:42,1,Oh Kie Hock,General info on change of use
WHERE I HAVE REGISTER IF I LIVE IN A PRIVATE PROPERTY NOT UNDER HDB,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/30/2019 17:51,12/31/2019 10:41,1,Oh Kie Hock,Catch all
what is urad,General Information about URA,Top Match,Catch all,,No Feedback,12/30/2019 18:46,12/31/2019 10:41,1,Oh Kie Hock,
How I can register a tenant,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/30/2019 19:50,12/31/2019 10:41,1,Oh Kie Hock,General info on renting private residential property
edarad,"General info on Additions and Alterations, and DC Forms",Top Match,General info for feedback on e-Service errors,,No Feedback,12/30/2019 18:48,12/31/2019 10:41,1,Oh Kie Hock,General info for feedback on e-Service errors
how to fill up land title declaration form,"General info on Additions and Alterations, and DC Forms",Top Match,General info for feedback on e-Service errors,,No Feedback,12/30/2019 19:49,12/31/2019 10:41,1,Oh Kie Hock,General info for feedback on e-Service errors
how to fill land title declaration form DC12,"General info on Additions and Alterations, and DC Forms",Top Match,General info for feedback on e-Service errors,,No Feedback,12/30/2019 19:50,12/31/2019 10:41,1,Oh Kie Hock,General info for feedback on e-Service errors
Transition for 100 Geylang Lorong 23,General Info on URA SPACE map service,,Catch all,,No Feedback,12/30/2019 20:10,12/31/2019 10:40,1,Oh Kie Hock,General Info on URA SPACE map service
MPZ for Balestier,General Info on URA SPACE map service,,General Info on URA SPACE map service,,No Feedback,12/29/2019 12:46,12/31/2019 10:40,2,Oh Kie Hock,General Info on URA SPACE map service
WHERE CAN I FIND THE PREVIOUS STREET BLOCK PLAN,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,12/29/2019 12:50,12/31/2019 10:40,2,Oh Kie Hock,General Info on URA SPACE map service
wait list,Catch all,Top Match,Catch all,,No Feedback,12/29/2019 13:47,12/31/2019 10:40,2,Oh Kie Hock,Car Parks-Season Parking
report number,General info on reporting infringements,,General info on reporting infringements,,No Feedback,12/29/2019 16:46,12/31/2019 10:39,2,Oh Kie Hock,General info on reporting infringements
How to get a copy of sky magazine,How can I obtain the approved plan for my property?,Top Match,General Information about URA,,Incorrect,12/28/2019 7:44,12/31/2019 10:39,3,Oh Kie Hock,General Information about URA
How to request for approval to built roofing for patio unit,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/28/2019 11:00,12/31/2019 10:38,3,Oh Kie Hock,General info on Development Control guidelines and handbooks
How to apply roofing for,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,12/28/2019 11:07,12/31/2019 10:38,3,Oh Kie Hock,General info on Development Control guidelines and handbooks
How to apply for roofing for patio unit,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/28/2019 11:08,12/31/2019 10:38,3,Oh Kie Hock,"What do I need to know when renovating a strata-titled residential property, such as my condominium unit?"
Where to find the form,"General info on Additions and Alterations, and DC Forms",Top Match,Catch all,,No Feedback,12/28/2019 11:08,12/31/2019 10:38,3,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
clearance form for coldstore,"General info on Additions and Alterations, and DC Forms",,Catch all,,No Feedback,12/28/2019 14:10,12/31/2019 10:38,3,Oh Kie Hock,Catch all
I need a coldstore clearance form to apply licence,General info on change of use,,Catch all,,No Feedback,12/28/2019 14:11,12/31/2019 10:38,3,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
Hello can we ask whom email address we are going to send photo and ask question about repairing the ceiling at Tiong Bahru building thanks,General Information about URA,,Catch all,,No Feedback,12/28/2019 14:57,12/31/2019 10:37,3,Oh Kie Hock,Catch all
Illegal rental,General info on reporting infringements,Top Match,General info on reporting infringements,,No Feedback,12/28/2019 19:46,12/31/2019 10:37,3,Oh Kie Hock,General info on renting private residential property
restore ceiling,"My unit has a high ceiling, can I build a loft?",,Catch all,,No Feedback,12/28/2019 21:23,12/31/2019 10:37,3,Oh Kie Hock,General information on building conservation
is tiong bahru residensials,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,12/28/2019 21:29,12/31/2019 10:37,3,Oh Kie Hock,General Info on URA SPACE map service
Religious activities residential,General info on change of use,,Catch all,,No Feedback,12/28/2019 22:06,12/31/2019 10:36,3,Oh Kie Hock,General info on change of use
how many tenant one apartment,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/28/2019 22:10,12/31/2019 10:36,3,Oh Kie Hock,General info on renting private residential property
Divorce mop ec,Catch all,,Catch all,,No Feedback,12/27/2019 11:01,12/31/2019 10:36,4,Oh Kie Hock,Catch all
how to purchase existing plans,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/27/2019 10:56,12/31/2019 10:36,4,Oh Kie Hock,Are unit floor plans available in the Private Residential Property Transactions e-Service?
Using my private residential address as business address,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,12/27/2019 11:14,12/31/2019 10:36,4,Oh Kie Hock,General Info on Home Business
contact number of chief surveyor,General Information about URA,Top Match,Catch all,,No Feedback,12/27/2019 12:15,12/31/2019 10:35,4,Oh Kie Hock,Catch all
how can I check build in area,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/27/2019 11:51,12/31/2019 10:35,4,Oh Kie Hock,General info on buying and renovating private residential properties
what is the temporary development levy,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,12/27/2019 14:24,12/31/2019 10:34,4,Oh Kie Hock,General Info on Housing Developer
what is temporary development levy,General Information about URA,Top Match,Catch all,,No Feedback,12/27/2019 14:25,12/31/2019 10:34,4,Oh Kie Hock,General Info on Housing Developer
what is your customer service number please,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/27/2019 14:45,12/31/2019 10:34,4,Oh Kie Hock,Who can I speak to at URA?
